"HolderAddress","Balance","PendingBalanceUpdate"
"0xb21439d9bc421735f74afb8b17f9a11971af6adf","1,224.881176870382911755","No"
"0x76455d4633b79bee7056b52486311b8e20caf6a5","1,207.478789868309302518","No"
"0xab1ef6a2bd769dce3da9cd96e8f16f00f50ee6e6","1,196.604281351138070189","No"
"0xa67be8578b6e30d5e1e3b351571f433accbcce80","1,175.682827354572860577","No"
"0x70320afc71ccbaeabe5ae09b81e48d8b5cfb565f","1,166.977250500308176655","No"
"0x83ca8331f345e41ef617e7354827dcb139632798","1,165.115594134104103166","No"
"0xec9a7aa0c7ce435a20b3c9d8f8402fc2d89cc6e7","1,153.974223402128357094","No"
"0x53a1b19e13a1e969ab2b2630f1fe91c9836eed9a","1,139.41987330761289638","No"
"0xe49a765141e447864cd0f211811b93aac7d94901","1,133.725954258056879441","No"
"0x80668d8b4981fa491668abfaa29bb23874d44809","1,127.381108014003351675","No"
"0xac3f7289806a72cfec54c3b6b539d2d63f8aa608","1,119.237540846316270671","No"
"0xa8b499f5fc2de1f0cbccc3bb2bf8116e1c4bb808","1,113.499788638629142811","No"
"0x1e50263a723bc5515119b3d668d319f7130362ae","1,080.13531738800118604","No"
"0x7f81c97d976ec1630d490cf6b9f1f52fc0169140","1,076.115375861476841964","No"
"0x10dbf220f5a148baf4f3091996619dc0ede2d75f","1,075.224642386392070194","No"
"0xa73773cd5da0a64d03e2eef81e174555722b74bb","1,073.851997015892291427","No"
"0x9919ca7859700de82c92411a6afe6d46abb99af1","1,068.143135338951103098","No"
"0xae9c31867bc84e78beb57f58bde6b1397eacdc0b","1,062.844165283573830011","No"
"0x11b9aba59de443fb48cf0bbcbd1a3a9f5a87e56b","1,061.134075316453463538","No"
"0xd317ff9e80a6402a3d2987696240038d3abe5935","1,052.809479000521655758","No"
"0x4f7cfc1581b0dd36c6e1c3ae38876563bfa5ffe0","1,047.567513316888801824","No"
"0xd7b7a3ab29b3282dc76419bd57776e0e90de8a41","1,044.491197904675591927","No"
